market_id,market,countryiso3,admin1,admin2,latitude,longitude
167,Metro Manila,PHL,National Capital region,Metropolitan Manila,14.6,120.98
168,La Trinidad,PHL,Cordillera Administrative region,Benguet,16.45,120.59
169,Lingayen,PHL,Region I,Pangasinan,16.02,120.23
170,Tuguegarao City,PHL,Region II,Cagayan,17.61,121.73
171,Palayan,PHL,Region III,Nueva Ecija,15.54,121.08
172,Santa Cruz,PHL,Region IV-A,Rizal,14.61,121.17
173,Puerto Princesa,PHL,Region IV-B,Palawan,9.74,118.74
174,Legazpi City,PHL,Region V,Albay,13.14,123.73
175,Iloilo City,PHL,Region VI,Iloilo,10.7,122.56
176,Cebu City,PHL,Region VII,Cebu,10.31,123.89
177,Catarman,PHL,Region VIII,Southern Leyte,10.14,125
178,Zamboanga City,PHL,Region IX,Zamboanga del Sur,6.91,122.07
179,Tubod,PHL,Region X,Lanao del Norte,8.22,124.25
180,Davao City,PHL,Region XI,Davao del Sur,7.18,125.44
181,Koronadal,PHL,Region XII,South Cotabato,6.5,124.85
182,Tandag,PHL,Region XIII,Surigao del Sur,9.08,126.2
183,Shariff Aguak,PHL,Autonomous region in Muslim Mindanao,Maguindanao,6.86,124.44
4262,Abra,PHL,Cordillera Administrative region,Abra,17.6,120.62
4263,Apayao,PHL,Cordillera Administrative region,Apayao,18.01,121.19
4264,Ifugao,PHL,Cordillera Administrative region,Ifugao,16.8,121.12
4265,Kalinga,PHL,Cordillera Administrative region,Kalinga,17.47,121.47
4266,Mountain Province,PHL,Cordillera Administrative region,Mountain Province,17.09,120.98
4267,Ilocos Norte,PHL,Region I,Ilocos Norte,18.19,120.6
4268,Ilocos Sur,PHL,Region I,Ilocos Sur,17.57,120.38
4269,La Union (Ilocos Region),PHL,Region I,La Union,16.62,120.31
4270,Isabela,PHL,Region II,Isabela,17.13,121.87
4271,Nueva Vizcaya,PHL,Region II,Nueva Vizcaya,16.49,121.15
4272,Quirino,PHL,Region II,Quirino,16.52,121.52
4273,Aurora,PHL,Region III,Aurora,15.75,121.56
4274,Bataan,PHL,Region III,Bataan,14.67,120.53
4275,Bulacan,PHL,Region III,Bulacan,14.84,120.81
4276,Pampanga,PHL,Region III,Bulacan,15.02,121.09
4277,Tarlac,PHL,Region III,Tarlac,15.49,120.59
4278,Zambales,PHL,Region III,Zambales,15.34,119.97
4279,Cavite,PHL,Region IV-A,Cavite,14.42,120.94
4280,Laguna,PHL,Region IV-A,Laguna,14.29,121.41
4281,Quezon,PHL,Region IV-A,Quezon,13.93,121.61
4282,Marinduque,PHL,Region IV-B,Marinduque,13.45,121.84
4283,Occidental Mindoro,PHL,Region IV-B,Occidental Mindoro,13.23,120.59
4284,Oriental Mindoro,PHL,Region IV-B,Oriental Mindoro,13.41,121.18
4285,Romblon,PHL,Region IV-B,Romblon,12.58,122.27
4286,Camarines Norte,PHL,Region V,Camarines Norte,14.12,122.96
4287,Camarines Sur,PHL,Region V,Masbate,12.55,123.27
4288,Catanduanes,PHL,Region V,Catanduanes,13.58,124.23
4289,Masbate,PHL,Region V,Masbate,12.36,123.63
4290,Sorsogon,PHL,Region V,Sorsogon,12.97,124.01
4291,Aklan,PHL,Region VI,Aklan,11.71,122.37
4292,Antique,PHL,Region VI,Antique,10.76,121.94
4293,Capiz,PHL,Region VI,Capiz,11.58,122.76
4294,Guimaras,PHL,Region VI,Guimaras,10.67,122.59
4295,Negros Occidental,PHL,Region VI,Negros Occidental,10.67,122.95
4296,Bohol,PHL,Region VII,Bohol,9.66,123.87
4297,Negros Oriental,PHL,Region VII,Negros Oriental,9.31,123.31
