date,region,category,commodity,unit,price_php,ma_7_day,ma_30_day,volatility_30_day,momentum_pct,change_7d_pct,change_30d_pct
2025-12-25,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,188.56,188.56,188.56,,0.0,,
2025-12-26,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,200.28,194.42000000000002,194.42000000000002,,0.0,,
2025-12-27,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,189.39,192.74333333333334,192.74333333333334,,0.0,,
2025-12-28,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,199.48,194.4275,194.4275,,0.0,,
2025-12-29,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,188.92,193.326,193.326,,0.0,,
2025-12-30,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,182.46,191.515,191.515,,0.0,,
2025-12-31,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,183.17,190.32285714285715,190.32285714285715,7.093797089208081,0.0,,
2026-01-01,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,191.51,190.74428571428572,190.47125,6.580977863726414,0.14,1.56,
2026-01-02,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,205.6,191.50428571428571,192.1522222222222,7.957802425572304,-0.34,2.66,
2026-01-03,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,208.97,194.30142857142854,193.834,9.196417418393612,0.24,10.34,
2026-01-04,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,183.0,191.94714285714284,192.84909090909093,9.31596420618441,-0.47,-8.26,
2026-01-05,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,190.88,192.22714285714287,192.68499999999997,8.900592932240782,-0.24,1.04,
2026-01-06,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,194.14,193.8957142857143,192.7969230769231,8.531218538027833,0.57,6.4,
2026-01-07,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,177.62,193.10285714285715,191.71285714285713,9.145265634003394,0.73,-3.03,
2026-01-08,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,183.83,192.00571428571428,191.18733333333333,9.044585173040327,0.43,-4.01,
2026-01-09,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,191.75,190.02714285714288,191.2225,8.73903160157539,-0.63,-6.74,
2026-01-10,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,190.64,187.40857142857143,191.18823529411765,8.462710289332634,-1.98,-8.77,
2026-01-11,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,179.89,186.96428571428572,190.56055555555557,8.631126620089995,-1.89,-1.7,
2026-01-12,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,188.49,186.62285714285713,190.4515789473684,8.401386964303965,-2.01,-1.25,
2026-01-13,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,184.18,185.20000000000002,190.13799999999998,8.296687734778322,-2.6,-5.13,
2026-01-14,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,187.46,186.6057142857143,190.01047619047617,8.107699104055648,-1.79,5.54,
2026-01-15,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,187.71,187.16,189.9059090909091,7.927490841304141,-1.45,2.11,
2026-01-16,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,190.3,186.95285714285714,189.92304347826084,7.745661210570264,-1.56,-0.76,
2026-01-17,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,187.75,186.54000000000002,189.83249999999998,7.588381422193777,-1.73,-1.52,
2026-01-18,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,192.09,188.28285714285715,189.9228,7.442316238913796,-0.86,6.78,
2026-01-19,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,173.65,186.16285714285715,189.2969230769231,7.959731035270359,-1.66,-7.87,
2026-01-20,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,172.48,184.49142857142857,188.67407407407407,8.449550401903169,-2.22,-6.35,
2026-01-21,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,185.54,184.21714285714285,188.56214285714285,8.312728017320612,-2.3,-1.02,
2026-01-22,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,180.16,183.1385714285714,188.27241379310342,8.310708949977222,-2.73,-4.02,
2026-01-23,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,179.16,181.54714285714286,187.96866666666665,8.33391274307545,-3.42,-5.85,
2026-01-24,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,189.65,181.81857142857143,188.005,8.338954184821482,-3.29,1.01,0.58
2026-01-25,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,186.18,180.9742857142857,187.535,8.014285843804604,-3.5,-3.08,-7.04
2026-01-26,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,166.99,180.02285714285713,186.78833333333336,8.83676726790552,-3.62,-3.84,-11.83
2026-01-27,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,179.97,181.09285714285713,186.138,8.584847276371354,-2.71,4.34,-9.78
2026-01-28,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,172.71,179.26,185.59766666666667,8.907767506733824,-3.41,-6.91,-8.58
2026-01-29,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,181.82,179.49714285714285,185.57633333333334,8.91630334849027,-3.28,0.92,-0.35
2026-01-30,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,181.14,179.78,185.50866666666664,8.9428583463174,-3.09,1.11,-1.11
2026-01-31,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,185.5,179.18714285714285,185.30833333333334,8.870809970923164,-3.3,-2.19,-3.14
2026-02-01,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,179.38,178.21571428571428,184.4343333333333,8.056960872794841,-3.37,-3.65,-12.75
2026-02-02,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,168.47,178.42714285714285,183.08433333333332,7.145555495084561,-2.54,0.89,-19.38
2026-02-03,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,163.88,176.12857142857143,182.447,7.959646998757384,-3.46,-8.94,-10.45
2026-02-04,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,165.74,175.13285714285715,181.60899999999998,8.354772474666687,-3.57,-4.04,-13.17
2026-02-05,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,169.71,173.40285714285716,180.79466666666667,8.281534396114218,-4.09,-6.66,-12.58
2026-02-06,BARMM (Bangsamoro Autonomous Region),Fish,Alumahan,kg,181.32,173.42857142857142,180.918,8.260148783831582,-4.14,0.1,2.08
